                           1                            2                            3                            4                            5                            6                            7 
              version_number                     compiler                        build             MESA_SDK_version                         date                    burn_min1                    burn_min2 
                       11701                   "gfortran"                      "8.3.0"      "x86_64-linux-20190503"                   "20190816"      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                     1803                  5.8812300066235184E+002                  2.7694681643797758E+000                  1.7390000000000001E+001                  3.4538978032562895E+001                 -9.8999999999999986E+001                  6.0765153864454593E+000                  3.4920407819706867E-001                  7.8127068153873730E-008                  9.9999999288647068E-001                  9.9999997378644956E-001                  4.1380601733606293E-001                  7.8127068153873730E-008                  9.9999999383480742E-001                  9.9999997064427837E-001                                        1                  3.4942584165873836E-001                                        3                  4.1458398574418431E-001                                        0                  1.0000000000000000E+000                  4.5165642227715459E+000                 -2.7285414997573511E+001                 -9.8999999999999986E+001                  4.5165642227715459E+000                  2.8545518736056463E+000                  4.5070023240442234E+000                 -2.7285414997573511E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.0808072024542391E+033                  1.9120342686478838E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  9.7573525537178352E-002                                        4                  2.3287442903575672E-001                                        3                  3.6047091625861594E-001                                        2                  3.7554075895740996E-001                                        3                  5.1922800808249070E-001                                        2                  6.2184696833230446E-001                                        1                  7.0706648202161726E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5428596786329569E+000                  4.5349753042728471E+000                  7.0502713132313610E-001                  4.2681346727695653E+000                 -3.8773360257258334E-008                  7.5624358457382179E+000                  8.0304690658157996E-001                  1.6558755486309035E+001                  8.0304690658157996E-001                  7.5624358457382179E+000                  6.0794366117973542E-001                  8.6112201599343896E-001                  1.2653640755361959E+000                  7.2224372706503814E-001                  2.7045705173444845E-001                  4.6571664642587188E-005                  3.0182689955547781E-003                  1.2558397984704338E-003                  3.0441750273669335E-003                  1.2563603855335542E+001                  4.7012733367785744E+000                                        0                                        0                                        4 
                                       5                                     1804                  3.9361507240292121E+003                  2.9679607096131493E+000                  1.7390000000000001E+001                  3.4538978032562895E+001                 -9.8999999999999986E+001                  6.8626434390813973E+000                  3.9369690502023524E-001                  7.8127067709838730E-008                  9.9999999320258282E-001                  9.9999997623671777E-001                  4.5580912399347051E-001                  7.8127067709838730E-008                  9.9999999415091956E-001                  9.9999997283456088E-001                                        1                  3.9463159511681412E-001                                        3                  4.5843905731835144E-001                                        0                  1.0000000000000000E+000                  4.4510471446632405E+000                 -2.7083078526201408E+001                 -1.0740169830895265E+001                  4.4510471446632414E+000                  2.4937801155186512E+000                  4.4462285058565030E+000                 -2.7083078526201408E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.7908837275241009E+033                  1.3498423606781573E+034                  1.4758013885234330E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.9355377831395767E+034                                        5                  8.9881886710917569E-002                                        4                  2.2442266566904123E-001                                        3                  3.5404509263447070E-001                                        2                  4.2916868876349529E-001                                        3                  5.2594951217895880E-001                                        2                  6.2742579696481959E-001                                        1                  7.1160878865353272E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5428737663726722E+000                  4.5083551454328203E+000                  6.9168887642369126E-001                  4.2948111825684547E+000                 -2.7464215598249943E-008                  7.5660517683040505E+000                  8.0822942177837276E-001                  1.6568314189428385E+001                  8.0822942177837276E-001                  7.5660517683040505E+000                  6.0788534828494767E-001                  8.6107295833062181E-001                  1.2654822521444191E+000                  7.2214580314129007E-001                  2.7055431058983609E-001                  2.7463181966237645E-005                  3.0027052108067380E-003                  1.2558397984704338E-003                  3.0441750273669335E-003                  1.2562580808211759E+001                  4.7021552052225495E+000                                        0                                        0                                        3 
                                      10                                     1804                  1.0651428840927751E+004                  3.2670322929372935E+000                  1.7390000000000001E+001                  3.4538978032562895E+001                 -9.8999999999999986E+001                  7.2743829401789339E+000                  4.1687127604763330E-001                  7.8127067931883335E-008                  9.9999999336063905E-001                  9.9999997830000042E-001                  4.7895570545752597E-001                  7.8127067931883335E-008                  9.9999999430897579E-001                  9.9999997572738120E-001                                        1                  4.1830839218970289E-001                                        3                  4.8037891962023854E-001                                        0                  1.0000000000000000E+000                  4.4817038167220256E+000                 -2.6956838607070857E+001                 -9.8999999999999986E+001                  4.4817038167220247E+000                  2.2404688982116916E+000                  4.4792046318347865E+000                 -2.6956838607070857E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.9792355178386308E+033                  1.3699582511484324E+034                  1.5641631372903813E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.9490656120597525E+034                                        5                  9.4485947548221372E-002                                        4                  2.2949398524915798E-001                                        3                  3.5886446035257957E-001                                        2                  4.5443089614551091E-001                                        3                  5.2994353036943820E-001                                        2                  6.3073867767656810E-001                                        1                  7.1430609156216363E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5418171196246062E+000                  4.4843988146160454E+000                  6.8182400451143532E-001                  4.3145409263929668E+000                 -5.2555637693855699E-009                  7.5683061558420990E+000                  8.1128627395629949E-001                  1.6574077020543132E+001                  8.1128627395629949E-001                  7.5683061558420990E+000                  6.0792780643537092E-001                  8.6095491328847062E-001                  1.2657639933027858E+000                  7.2190977403752510E-001                  2.7079511035859394E-001                  2.6336713841361767E-005                  2.9645014663448395E-003                  1.2558397984704338E-003                  3.0441750273669335E-003                  1.2560513680152376E+001                  4.7041869822639049E+000                                        0                                        0                                        3 
                                      13                                     1804                  1.8729634819360923E+004                  3.5045760310801679E+000                  1.7390000000000001E+001                  3.4538978032562895E+001                 -9.8999999999999986E+001                  7.3638012115621096E+000                  4.2296559961238178E-001                  7.8127067931883335E-008                  9.9999999336063905E-001                  9.9999997869509494E-001                  4.8464085625484477E-001                  7.8127067931883335E-008                  9.9999999415091967E-001                  9.9999997630279713E-001                                        1                  4.2345032843945424E-001                                        3                  4.8495095590463261E-001                                        0                  1.0000000000000000E+000                  4.4799355884940120E+000                 -2.6955900940850924E+001                 -9.8999999999999986E+001                  4.4799355884940120E+000                  2.0458485721268915E+000                  4.4783341961604108E+000                 -2.6955900940850924E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.9722106001268797E+033                  1.3693624793432893E+034                  1.5956315721671894E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.9453347308793008E+034                                        5                  9.2951260602453512E-002                                        4                  2.2949398524915798E-001                                        3                  3.5886446035257957E-001                                        2                  4.6329951080482007E-001                                        3                  5.2861219097261181E-001                                        2                  6.3073867767656810E-001                                        1                  7.1430609156216363E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5411764955788314E+000                  4.4787490692270469E+000                  6.8028037990848655E-001                  4.3176281755988644E+000                 -4.6984726917655455E-010                  7.5683145485020686E+000                  8.1053631140832705E-001                  1.6573349910515876E+001                  8.1053631140832705E-001                  7.5683145485020686E+000                  6.0806312096455650E-001                  8.6080609326335489E-001                  1.2661194434783600E+000                  7.2161215869801043E-001                  2.7109849144586312E-001                  2.5608560627486345E-005                  2.9179976704780037E-003                  1.2558397984704338E-003                  3.0441750273669335E-003                  1.2558014941161574E+001                  4.7067051611948241E+000                                        0                                        0                                        5 
                                      15                                     1804                  2.7166477634638824E+004                  3.6629385231754177E+000                  1.7390000000000001E+001                  3.4538978032562895E+001                 -9.8999999999999986E+001                  7.3864715140058346E+000                  4.2447999925526547E-001                  7.8127067931883335E-008                  9.9999999336063905E-001                  9.9999997869967938E-001                  4.8464085625484477E-001                  7.8127067931883335E-008                  9.9999999415091967E-001                  9.9999997630352466E-001                                        1                  4.2475396860298070E-001                                        3                  4.8574884608804486E-001                                        0                  1.0000000000000000E+000                  4.4802213027412288E+000                 -2.6976747562286455E+001                 -1.1439139835231284E+001                  4.4802213027412288E+000                  1.9917421397080752E+000                  4.4788087286255234E+000                 -2.6976747562286455E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.9726581423742484E+033                  1.3692066227232370E+034                  1.6070075962709252E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.9380879187646338E+034                                        5                  9.2951260602453512E-002                                        4                  2.2949398524915798E-001                                        3                  3.5886446035257957E-001                                        2                  4.6650123341836114E-001                                        3                  5.2460736447607625E-001                                        2                  6.2963796162041730E-001                                        1                  7.1340990383923186E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5408274562005637E+000                  4.4779099272818730E+000                  6.8055888769243633E-001                  4.3170711600309648E+000                  3.7683151430416642E-010                  7.5679305939332293E+000                  8.0915991491343697E-001                  1.6571520335540150E+001                  8.0915991491343697E-001                  7.5679305939332293E+000                  6.0821808285152357E-001                  8.6064824753643310E-001                  1.2664967111823888E+000                  7.2129647069441960E-001                  2.7142016787407369E-001                  2.5959145989575324E-005                  2.8706405267292481E-003                  1.2558397984704338E-003                  3.0441750273669335E-003                  1.2555405588712791E+001                  4.7093500360461027E+000                                        0                                        0                                        5 
                                      20                                     1802                  6.8261203849005949E+004                  4.0588447534135419E+000                  1.7390000000000001E+001                  3.4538978032562895E+001                 -9.8999999999999986E+001                  7.3985602100197889E+000                  4.2447999925526547E-001                  7.8127067931883335E-008                  9.9999999320258293E-001                  9.9999997827057618E-001                  4.8605699656793799E-001                  7.8127067931883335E-008                  9.9999999415091967E-001                  9.9999997573148347E-001                                        1                  4.2544912076019487E-001                                        3                  4.8729419260747286E-001                                        0                  1.0000000000000000E+000                  4.4805463777105219E+000                 -2.7079886649720859E+001                 -9.8999999999999986E+001                  4.4805463777105210E+000                  1.9184056405782222E+000                  4.4793544788974859E+000                 -2.7079886649720859E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.9653111604064201E+033                  1.3673899235389337E+034                  1.6272248722066050E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.9032361084699489E+034                                        5                  9.2951260602453512E-002                                        4                  2.2949398524915798E-001                                        3                  3.5886446035257957E-001                                        2                  4.7276885950809444E-001                                        3                  5.0971472397385242E-001                                        2                  6.2408065834883875E-001                                        1                  7.1070386119076567E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5395975875868144E+000                  4.4784057819744687E+000                  6.8326655226623179E-001                  4.3116558308833737E+000                  5.0249442618647629E-010                  7.5660251528849223E+000                  8.0290236972781548E-001                  1.6562949189013938E+001                  8.0290236972781548E-001                  7.5660251528849223E+000                  6.0897469242775415E-001                  8.5987951288076536E-001                  1.2683385138970811E+000                  7.1975900230434708E-001                  2.7298373039863300E-001                  2.8063623861424701E-005                  2.6647155313347633E-003                  1.2558397984704338E-003                  3.0441750273669335E-003                  1.2542707074194999E+001                  4.7222236074322117E+000                                        0                                        0                                        5 
                                      25                                     1789                  1.7051803298274000E+005                  4.4547509836516657E+000                  1.7390000000000001E+001                  3.4538978032562895E+001                 -9.8999999999999986E+001                  7.3912269223390119E+000                  4.2447999925526547E-001                  7.8127067931883335E-008                  9.9999999304452680E-001                  9.9999997734512092E-001                  4.8605699656793799E-001                  7.8127067931883335E-008                  9.9999999383480742E-001                  9.9999997477909119E-001                                        1                  4.2502742509137503E-001                                        3                  4.8654233701828375E-001                                        0                  1.0000000000000000E+000                  4.4819624065690311E+000                 -2.7248486219875733E+001                 -1.1138109839567303E+001                  4.4819624065690311E+000                  1.8605583519524274E+000                  4.4809227258420448E+000                 -2.7248486219875733E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.9526905910418624E+033                  1.3640682114352809E+034                  1.6454439793560598E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.8270385439723754E+034                                        5                  9.4485947548221372E-002                                        4                  2.2949398524915798E-001                                        3                  3.5725800444654332E-001                                        2                  6.1392613579896205E-001                                        1                  7.0431625863252523E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5374842163320173E+000                  4.4805252929140007E+000                  6.8855305024559044E-001                  4.3010828349246566E+000                  3.6680147554396619E-010                  7.5628293488968623E+000                  7.9210191441806888E-001                  1.6547953268883301E+001                  7.9210191441806888E-001                  7.5628293488968623E+000                  6.1082093474671428E-001                  8.5796545349063258E-001                  1.2729538720325322E+000                  7.1593088275711170E-001                  2.7686169572091551E-001                  3.2193558100089921E-005                  2.2714375045342606E-003                  1.2558397984704338E-003                  3.0441750273669335E-003                  1.2511126415894372E+001                  4.7541559920156145E+000                                        0                                        0                                        5 
                                      30                                     1771                  4.2496574605279299E+005                  4.8506572138897894E+000                  1.7390000000000001E+001                  3.4538978032562895E+001                 -9.8999999999999986E+001                  7.3551597715855728E+000                  4.2144201872119452E-001                  7.8127067765349881E-008                  9.9999999241230231E-001                  9.9999997571181165E-001                  4.8322471594175137E-001                  7.8127067765349881E-008                  9.9999999351869517E-001                  9.9999997282048880E-001                                        1                  4.2295340837179829E-001                                        3                  4.8475997280820571E-001                                        0                  1.0000000000000000E+000                  4.4871754178910672E+000                 -2.7431862390572554E+001                 -1.1439139835231284E+001                  4.4871754178910672E+000                  1.8063561600019808E+000                  4.4862688125417591E+000                 -2.7431862390572554E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.9439268272416167E+033                  1.3594581346984011E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  9.4485947548221205E-002                                        4                  2.2949398524915782E-001                                        3                  3.5725800444654315E-001                                        2                  5.9767432457059022E-001                                        1                  6.9593940459256132E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5345556898676636E+000                  4.4863649055997170E+000                  6.9732990951715668E-001                  4.2835291163815237E+000                  2.4362473102138660E-010                  7.5590098783268669E+000                  7.7768210999596898E-001                  1.6527280195338452E+001                  7.7768210999596898E-001                  7.5590098783268669E+000                  6.1537566317493286E-001                  8.5316927976305557E-001                  1.2846868368505220E+000                  7.0633853478281750E-001                  2.8653267665388765E-001                  3.8713111221241811E-005                  1.6510541214443228E-003                  1.2558397984704338E-003                  3.0441750273669335E-003                  1.2432144413428782E+001                  4.8337050357769442E+000                                        0                                        0                                        5 
                                      35                                     1763                  9.0828964722305059E+005                  5.0000000000000000E+000                  1.7390000000000001E+001                  3.4538978032562895E+001                 -9.8999999999999986E+001                  7.2644780576423580E+000                  4.1687127604763341E-001                  7.8127068042905637E-008                  9.9999999193813394E-001                  9.9999997320708767E-001                  4.7752927037195991E-001                  7.8127068042905637E-008                  9.9999999304452680E-001                  9.9999997028881149E-001                                        1                  4.1773881872584001E-001                                        3                  4.7886438218272870E-001                                        0                  1.0000000000000000E+000                  4.4988566605748019E+000                 -2.7493341046680374E+001                 -9.8999999999999986E+001                  4.4988566605748019E+000                  1.7563596320617774E+000                  4.4980701936608725E+000                 -2.7493341046680374E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.9538827970852777E+033                  1.3548472551340694E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  9.6020634493989232E-002                                        4                  2.2949398524915809E-001                                        3                  3.5565154854050718E-001                                        2                  4.6601593085042414E-001                                        1                  4.9448653283536959E-001                                        2                  5.7476461204053253E-001                                        1                  6.8641903125810422E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5317264707890921E+000                  4.4983701475765390E+000                  7.0899096866271050E-001                  4.2602069980904167E+000                  1.8428550567156452E-010                  7.5567623448451560E+000                  7.6530240651742476E-001                  1.6507947750872631E+001                  7.6530240651742476E-001                  7.5567623448451560E+000                  6.2432257317396311E-001                  8.4381593516102771E-001                  1.3082328168572859E+000                  6.8763184719345782E-001                  3.0531990803819237E-001                  4.5460764838853562E-005                  1.0157393478587402E-003                  1.2558397984704338E-003                  3.0441750273669335E-003                  1.2279385339571542E+001                  4.9870454382150555E+000                                        0                                        0                                        5 
