                           1                            2                            3                            4                            5                            6                            7 
              version_number                     compiler                        build             MESA_SDK_version                         date                    burn_min1                    burn_min2 
                       11701                   "gfortran"                      "8.3.0"      "x86_64-linux-20190503"                   "20190816"      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                     1880                  5.6578229843533018E+002                  2.7526493556128102E+000                  3.0000000000000000E+001                  3.4775799705279844E+001                 -9.8999999999999986E+001                  1.5863988790061311E+001                  5.2864139835916946E-001                  7.8126012190363890E-008                  9.9999999708258280E-001                  9.9999998127818579E-001                  5.8141905023442564E-001                  7.8126012190363890E-008                  9.9999999753966240E-001                  9.9999997809993846E-001                                        1                  5.2879962633537703E-001                                        3                  5.8153051804670675E-001                                        0                  1.0000000000000000E+000                  5.0696331529639460E+000                 -2.5346709428937793E+001                 -9.8999999999999986E+001                  5.0696331529639460E+000                  2.9340271574058687E+000                  5.0664432881955355E+000                 -2.5346709428937793E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7843363979818109E+034                  2.7999691131658285E+034                  3.3186118328016477E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.7377321301226281E+034                                        5                  1.4941467599035579E-001                                        4                  2.9899927309606494E-001                                        3                  4.3219915528017799E-001                                        2                  5.5829492387760793E-001                                        3                  5.9678301742120643E-001                                        2                  6.8709086159182275E-001                                        1                  7.6101781153181458E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6254923908146379E+000                  5.0942070441668053E+000                  8.1937757690675295E-001                  4.2762554543192817E+000                 -3.2129145462253050E-008                  7.6028446069394615E+000                  6.1936526342606701E-001                  1.6467807739826494E+001                  6.1936526342606701E-001                  7.6028446069394615E+000                  6.0683569517670755E-001                  8.6105425449124795E-001                  1.2655263714567284E+000                  7.2210839714131447E-001                  2.7059374641184331E-001                  3.0571830477977493E-005                  2.9906517897623627E-003                  1.2558397984704336E-003                  3.0441750273669296E-003                  2.1669765228629579E+001                  8.1135394077033709E+000                                        0                                        0                                        3 
                                       5                                     1885                  4.2103255520363527E+003                  3.0693743398033093E+000                  3.0000000000000000E+001                  3.4775799705279844E+001                 -9.8999999999999986E+001                  1.6463615784626583E+001                  5.4739229540418355E-001                  7.8126012412408495E-008                  9.9999999719685317E-001                  9.9999998220149189E-001                  6.0007023815892235E-001                  7.8126012412408495E-008                  9.9999999753966284E-001                  9.9999997957244868E-001                                        1                  5.4878719282088606E-001                                        3                  6.0064353876683918E-001                                        0                  1.0000000000000000E+000                  5.0781879959077090E+000                 -2.5286741447510760E+001                 -9.8999999999999986E+001                  5.0781879959077090E+000                  2.5387029114547714E+000                  5.0769321770942559E+000                 -2.5286741447510760E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7962776276835154E+034                  2.8094047711735446E+034                  3.4590446928965071E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.7512247394929068E+034                                        5                  1.5113499095567035E-001                                        4                  3.0075439881745175E-001                                        3                  4.3300887273064598E-001                                        2                  5.4739229540418355E-001                                        1                  5.7324434925113465E-001                                        2                  6.8926484434245139E-001                                        1                  7.6275061134011191E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6252471898982268E+000                  5.0807962388530088E+000                  8.1316257608267750E-001                  4.2886854559674328E+000                 -6.3601415856569645E-009                  7.6039489639393611E+000                  6.2129848466933735E-001                  1.6471113337720990E+001                  6.2129848466933735E-001                  7.6039489639393611E+000                  6.0691384764968581E-001                  8.6093480949265744E-001                  1.2658113064430232E+000                  7.2186957897090642E-001                  2.7083782164468390E-001                  2.8665380069998366E-005                  2.9477771989892066E-003                  1.2558397984704336E-003                  3.0441750273669296E-003                  2.1665289889290190E+001                  8.1179953541687073E+000                                        0                                        0                                        3 
                                       7                                     1886                  7.3075898514900737E+003                  3.2277368318985591E+000                  3.0000000000000000E+001                  3.4775799705279844E+001                 -9.8999999999999986E+001                  1.6579579249599643E+001                  5.5164991162028287E-001                  7.8126012412408495E-008                  9.9999999719685306E-001                  9.9999998236554499E-001                  6.0399451390638226E-001                  7.8126012412408495E-008                  9.9999999759679770E-001                  9.9999997969513077E-001                                        1                  5.5265264165332140E-001                                        3                  6.0460284931861397E-001                                        0                  1.0000000000000000E+000                  5.0795316078862882E+000                 -2.5291311274765899E+001                 -9.8999999999999986E+001                  5.0795316078862882E+000                  2.3361972119002705E+000                  5.0787466572759055E+000                 -2.5291311274765899E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7973065940823511E+034                  2.8101724556180476E+034                  3.4922691443267177E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.7484267703537110E+034                                        5                  1.5113499095567035E-001                                        4                  3.0075439881745175E-001                                        3                  4.3462830763158150E-001                                        2                  5.4739229540418355E-001                                        1                  5.7938270314837581E-001                                        2                  6.8926484434245139E-001                                        1                  7.6188421143596319E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6249827708789093E+000                  5.0781879882331609E+000                  8.1238728881138789E-001                  4.2902360305100116E+000                 -9.8150697701619228E-010                  7.6038527921424057E+000                  6.2072283519859339E-001                  1.6470451177135722E+001                  6.2072283519859339E-001                  7.6038527921424057E+000                  6.0701264955989420E-001                  8.6082939608106634E-001                  1.2660628629582873E+000                  7.2165876960188158E-001                  2.7105325664148533E-001                  2.8616200710191911E-005                  2.9111255040543673E-003                  1.2558397984704336E-003                  3.0441750273669296E-003                  2.1661474990137737E+001                  8.1218649391751718E+000                                        0                                        0                                        5 
                                      10                                     1886                  1.4686962829679447E+004                  3.4652805700414335E+000                  3.0000000000000000E+001                  3.4775799705279844E+001                 -9.8999999999999986E+001                  1.6629295442063356E+001                  5.5306532614183723E-001                  7.8126012412408495E-008                  9.9999999719685306E-001                  9.9999998231827114E-001                  6.0464353951607297E-001                  7.8126012412408495E-008                  9.9999999759679770E-001                  9.9999997963883147E-001                                        1                  5.5430984806877848E-001                                        3                  6.0587448580872549E-001                                        0                  1.0000000000000000E+000                  5.0798960022252739E+000                 -2.5328953349457112E+001                 -1.0235019852575359E+001                  5.0798960022252739E+000                  2.1581531605825068E+000                  5.0793756449603427E+000                 -2.5328953349457112E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7965973118978688E+034                  2.8088640433030114E+034                  3.5190105682346284E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.7331783175578262E+034                                        5                  1.5113499095567035E-001                                        4                  3.0075439881745175E-001                                        3                  4.3300887273064598E-001                                        2                  5.4739229540418355E-001                                        1                  5.8451179215287374E-001                                        2                  6.8709086159182298E-001                                        1                  7.6101781153181436E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6244627094597472E+000                  5.0774181083851646E+000                  8.1304247172571420E-001                  4.2889256646813587E+000                  9.9132407579093097E-010                  7.6031244757110752E+000                  6.1831418466887045E-001                  1.6467223590504453E+001                  6.1831418466887045E-001                  7.6031244757110752E+000                  6.0726525251927899E-001                  8.6057477975317109E-001                  1.2666710862776054E+000                  7.2114954640312590E-001                  2.7157312316502258E-001                  2.9314992604037522E-005                  2.8271375971626878E-003                  1.2558397984704336E-003                  3.0441750273669296E-003                  2.1652386086331386E+001                  8.1311221324182394E+000                                        0                                        0                                        5 
                                      15                                     1886                  4.0756188900384310E+004                  3.8611868002795577E+000                  3.0000000000000000E+001                  3.4775799705279844E+001                 -9.8999999999999986E+001                  1.6617213439825338E+001                  5.5306532614183723E-001                  7.8126012412408495E-008                  9.9999999708258314E-001                  9.9999998185413430E-001                  6.0464353951607297E-001                  7.8126012412408495E-008                  9.9999999753966273E-001                  9.9999997910249983E-001                                        1                  5.5390711466084463E-001                                        3                  6.0573268755873655E-001                                        0                  1.0000000000000000E+000                  5.0803259870925572E+000                 -2.5453744917427130E+001                 -9.8999999999999986E+001                  5.0803259870925572E+000                  2.0764998223340769E+000                  5.0798952884747290E+000                 -2.5453744917427130E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7936515595623454E+034                  2.8044591400218276E+034                  3.5410146296352159E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6847073227647655E+034                                        5                  1.5113499095567035E-001                                        4                  2.9899927309606517E-001                                        3                  4.3300887273064598E-001                                        2                  5.4596550823119294E-001                                        1                  5.8748096917661563E-001                                        2                  6.8271765231857862E-001                                        1                  7.5753165300083847E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6229706870687020E+000                  5.0783070358287485E+000                  8.1647098022959663E-001                  4.2820686476735945E+000                  9.4069759465520569E-010                  7.6007020400994438E+000                  6.1055486701761641E-001                  1.6456656118180188E+001                  6.1055486701761641E-001                  7.6007020400994438E+000                  6.0815751928834272E-001                  8.5967281118126138E-001                  1.2688324890814164E+000                  7.1934561101634831E-001                  2.7340954958239311E-001                  3.2256165223402536E-005                  2.5711730849245730E-003                  1.2558397984704336E-003                  3.0441750273669296E-003                  2.1620321122770946E+001                  8.1637442214711378E+000                                        0                                        0                                        5 
                                      20                                     1885                  1.0562476551664063E+005                  4.2570930305176811E+000                  3.0000000000000000E+001                  3.4775799705279844E+001                 -9.8999999999999986E+001                  1.6577263561541567E+001                  5.5164991162028287E-001                  7.8126012412408495E-008                  9.9999999696831332E-001                  9.9999998096984655E-001                  6.0399451390638226E-001                  7.8126012412408495E-008                  9.9999999742539281E-001                  9.9999997764856674E-001                                        1                  5.5257545205138558E-001                                        3                  6.0440226942797204E-001                                        0                  1.0000000000000000E+000                  5.0821249622054641E+000                 -2.5639359741191566E+001                 -1.0235019852575359E+001                  5.0821249622054641E+000                  2.0238985135682892E+000                  5.0817449934965628E+000                 -2.5639359741191566E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7889889838768460E+034                  2.7977592204013695E+034                  3.5608688872913850E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.5860403032241145E+034                                        5                  1.5113499095567035E-001                                        4                  2.9899927309606517E-001                                        3                  4.3219915528017822E-001                                        2                  5.4453872105820234E-001                                        1                  5.9036296897185925E-001                                        2                  6.7381967401675580E-001                                        1                  7.5222978636277560E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6205459824414303E+000                  5.0808627272105111E+000                  8.2259823517502106E-001                  4.2698141377827454E+000                  6.4036557675585667E-010                  7.5969795763978984E+000                  5.9820435154771234E-001                  1.6439652777672151E+001                  5.9820435154771234E-001                  7.5969795763978984E+000                  6.1032713112657633E-001                  8.5742706601215379E-001                  1.2742551182198523E+000                  7.1485412043601404E-001                  2.7795993821856768E-001                  3.7669388495755207E-005                  2.1072004605386637E-003                  1.2558397984704336E-003                  3.0441750273669296E-003                  2.1540589514592074E+001                  8.2445005982446151E+000                                        0                                        0                                        5 
                                      25                                     1885                  2.6703854208240355E+005                  4.6529992607558057E+000                  3.0000000000000000E+001                  3.4775799705279844E+001                 -9.8999999999999986E+001                  1.6481020717029704E+001                  5.4881908257717416E-001                  7.8126012412408495E-008                  9.9999999673977358E-001                  9.9999997951141628E-001                  6.0072528818647619E-001                  7.8126012412408495E-008                  9.9999999719685306E-001                  9.9999997626770398E-001                                        1                  5.4936735723432351E-001                                        3                  6.0087727799739254E-001                                        0                  1.0000000000000000E+000                  5.0882432600624226E+000                 -2.5815326111335779E+001                 -9.8999999999999986E+001                  5.0882432600624226E+000                  1.9682871411352758E+000                  5.0879136556749165E+000                 -2.5815326111335779E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7862159001680763E+034                  2.7900318067987616E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  1.5113499095567035E-001                                        4                  2.9899927309606517E-001                                        3                  4.3138943782971045E-001                                        2                  5.4311193388521173E-001                                        1                  5.9148284638618698E-001                                        2                  6.6009516203412399E-001                                        1                  7.4408554847549757E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6173811475726172E+000                  5.0875578928002421E+000                  8.3227548770751281E-001                  4.2504596327177619E+000                  4.1062644433492724E-010                  7.5929672519254803E+000                  5.8324947264225413E-001                  1.6418417562797309E+001                  5.8324947264225413E-001                  7.5929672519254803E+000                  6.1570106730496066E-001                  8.5178165629076641E-001                  1.2881190708316861E+000                  7.0356330091272801E-001                  2.8933738075102494E-001                  4.5619591736497135E-005                  1.4248147237140402E-003                  1.2558397984704336E-003                  3.0441750273669296E-003                  2.1340941208490541E+001                  8.4456465742868456E+000                                        0                                        0                                        5 
                                      30                                     1876                  6.1062298301679734E+005                  4.9260015009607212E+000                  3.0000000000000000E+001                  3.4775799705279844E+001                 -9.8999999999999986E+001                  1.6243672751603746E+001                  5.4023575354314901E-001                  7.8126012856497705E-008                  9.9999999651123384E-001                  9.9999997726189083E-001                  5.9281680545604454E-001                  7.8126012856497705E-008                  9.9999999696831332E-001                  9.9999997376717664E-001                                        1                  5.4145575838679150E-001                                        3                  5.9312884706004620E-001                                        0                  1.0000000000000000E+000                  5.1030671558208693E+000                 -2.5828091879717835E+001                 -9.8999999999999986E+001                  5.1030671558208693E+000                  1.9099278030670825E+000                  5.1027886821191029E+000                 -2.5828091879717835E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7903120605613388E+034                  2.7835451044976301E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  1.5371546340364212E-001                                        4                  2.9899927309606561E-001                                        3                  4.2977000292877537E-001                                        2                  5.4167384371418059E-001                                        1                  5.9396601968436424E-001                                        2                  6.4351918851957002E-001                                        1                  7.3572171826614308E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6140914313595722E+000                  5.1026597174418313E+000                  8.4640583245439627E-001                  4.2221989432239946E+000                  3.1147470446274126E-010                  7.5910632268356020E+000                  5.7127281187734846E-001                  1.6399577064882834E+001                  5.7127281187734846E-001                  7.5910632268356020E+000                  6.2765903129534972E-001                  8.3938284444217082E-001                  1.3196980103118525E+000                  6.7876567848365021E-001                  3.1422134906908272E-001                  5.3682313912327595E-005                  7.4482834284321443E-004                  1.2558397984704336E-003                  3.0441750273669296E-003                  2.0906017813381816E+001                  8.8820307231666256E+000                                        0                                        0                                        5 
                                      35                                     1867                  1.1005161832956045E+006                  5.0000000000000000E+000                  3.0000000000000000E+001                  3.4775799705279844E+001                 -9.8999999999999986E+001                  1.5860745334211728E+001                  5.2864139835917867E-001                  7.8126022405023714E-008                  9.9999999605415446E-001                  9.9999997413653707E-001                  5.7870392078636723E-001                  7.8126022405023714E-008                  9.9999999673977358E-001                  9.9999996986769213E-001                                        1                  5.2869151114039092E-001                                        3                  5.7881471210023028E-001                                        0                  1.0000000000000000E+000                  5.1257304862054633E+000                 -2.5625484225020237E+001                 -9.8999999999999986E+001                  5.1257304862054625E+000                  1.8521047439129983E+000                  5.1254991336824087E+000                 -2.5625484225020237E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7985566917611679E+034                  2.7773416624017281E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        6                  2.2198913763747108E-002                                        5                  1.5629593585162310E-001                                        4                  3.0075439881746174E-001                                        3                  4.2977000292878492E-001                                        2                  5.3879766337212598E-001                                        1                  7.2809572879100559E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6109687114004716E+000                  5.1254057118231904E+000                  8.6402426956327816E-001                  4.1869620690062312E+000                  3.0800398655128226E-010                  7.5924605393690303E+000                  5.6624535489704475E-001                  1.6388205709603163E+001                  5.6624535489704475E-001                  7.5924605393690303E+000                  6.4668423448886370E-001                  8.2055193155324080E-001                  1.3707737176873187E+000                  6.4110385508248457E-001                  3.5193222339923474E-001                  5.8638551940178074E-005                  3.5908626897117698E-004                  1.2558397984704336E-003                  3.0441750273669278E-003                  2.0258419621898799E+001                  9.5304129881425492E+000                                        0                                        0                                        5 
