                           1                            2                            3                            4                            5                            6                            7 
              version_number                     compiler                        build             MESA_SDK_version                         date                    burn_min1                    burn_min2 
                       11701                   "gfortran"                      "8.3.0"      "x86_64-linux-20190503"                   "20190816"      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                     1803                  1.3362382277335205E+003                  3.1258838920968022E+000                  1.3230000000000002E+001                  3.4420238294747683E+001                 -9.8999999999999986E+001                  4.3158935734358082E+000                  3.2582226066515574E-001                  7.8144410991135731E-008                  9.9999999007735585E-001                  9.9999996281983050E-001                  3.9118826661644412E-001                  7.8144410991135731E-008                  9.9999999178023702E-001                  9.9999995828934540E-001                                        1                  3.2622022474949414E-001                                        3                  3.9269771397752040E-001                                        0                  1.0000000000000000E+000                  4.1340511002986871E+000                 -2.8980227827859292E+001                 -9.8999999999999986E+001                  4.1340511002986871E+000                  2.0361026403535702E+000                  4.1305711369400919E+000                 -2.8980227827859292E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9287241496757195E+033                  9.0847175895461191E+033                  9.4076252385116498E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.3580097949247253E+034                                        5                  6.2183069880106849E-002                                        4                  1.8597042948380429E-001                                        3                  3.0981400664852832E-001                                        2                  3.6266799560542506E-001                                        3                  4.8214829088799660E-001                                        2                  5.8563432444481955E-001                                        1                  6.7413695062991286E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4721054395172732E+000                  4.1533970393078512E+000                  6.5574647707200384E-001                  4.2479562434566178E+000                 -1.5882973384151341E-008                  7.5303897399096860E+000                  8.7240244501251230E-001                  1.6575551711005510E+001                  8.7240244501251230E-001                  7.5303897399096860E+000                  6.1231809241387192E-001                  8.5741425030854612E-001                  1.2766074667778569E+000                  7.1482840387885105E-001                  2.7056584535206990E-001                  4.9551714499425913E-005                  6.0491972532268918E-003                  2.5116795969408715E-003                  6.0883500547338635E-003                  9.4627660814057215E+000                  3.5771231402404089E+000                                        0                                        0                                        3 
                                       2                                     1804                  2.9397241010137450E+003                  3.2050651381444273E+000                  1.3230000000000002E+001                  3.4420238294747683E+001                 -9.8999999999999986E+001                  4.4434024249606106E+000                  3.3535427297613540E-001                  7.8144395392601814E-008                  9.9999999007735596E-001                  9.9999996345756270E-001                  4.0174704328254340E-001                  7.8144395392601814E-008                  9.9999999178023713E-001                  9.9999995917243034E-001                                        1                  3.3585808200760470E-001                                        3                  4.0216690466894223E-001                                        0                  1.0000000000000000E+000                  4.1511305757393906E+000                 -2.8993298488133199E+001                 -1.1263048576175603E+001                  4.1511305757393906E+000                  2.0858372243008154E+000                  4.1473776838430174E+000                 -2.8993298488133199E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0014598166624370E+033                  9.1840252139877354E+033                  9.6484614808350100E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.3561466198378106E+034                                        5                  6.4960491079666283E-002                                        4                  1.8843939131930787E-001                                        3                  3.1302522986607395E-001                                        2                  3.7050330903215484E-001                                        3                  4.8214829088798195E-001                                        2                  5.8447827377599848E-001                                        1                  6.7318040780344213E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4712185966471267E+000                  4.1452544490316718E+000                  6.5344886767420840E-001                  4.2525514622522094E+000                 -1.1764945106859113E-008                  7.5302119831952190E+000                  8.6988271124970562E-001                  1.6573017826485660E+001                  8.6988271124970562E-001                  7.5302119831952190E+000                  6.1233647338245012E-001                  8.5739782176915125E-001                  1.2766470249905795E+000                  7.1479551882231007E-001                  2.7060018502542066E-001                  5.5018656945518005E-005                  6.0441781680146151E-003                  2.5116795969408684E-003                  6.0883500547338617E-003                  9.4625312652664544E+000                  3.5773314834536980E+000                                        0                                        0                                        3 
                                       5                                     1803                  9.9437503955017655E+003                  3.4426088762873017E+000                  1.3230000000000002E+001                  3.4420238294747683E+001                 -9.8999999999999986E+001                  4.8010579148609667E+000                  3.6202803180102622E-001                  7.8144394894277270E-008                  9.9999999007735574E-001                  9.9999996436841043E-001                  4.2693031502010442E-001                  7.8144394894277270E-008                  9.9999999160994879E-001                  9.9999995966294408E-001                                        1                  3.6289175471360291E-001                                        3                  4.2826755604939698E-001                                        0                  1.0000000000000000E+000                  4.1140718191454706E+000                 -2.9061942703480280E+001                 -1.0895071790881008E+001                  4.1140718191454715E+000                  2.0295544057711972E+000                  4.1104820995860711E+000                 -2.9061942703480280E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9097759702058082E+033                  9.1058450080650796E+033                  1.0513116797128308E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.3502635216641367E+034                                        5                  6.0100003980410210E-002                                        4                  1.8597042948378911E-001                                        3                  3.0981400664851316E-001                                        2                  4.0191493242942228E-001                                        3                  4.7940267281854315E-001                                        2                  5.8215595341295956E-001                                        1                  6.7125858668233140E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4683141297935487E+000                  4.1247030463621996E+000                  6.4898210004662815E-001                  4.2614849975073694E+000                 -4.0674564897870889E-009                  7.5291299324117391E+000                  8.6332955770817377E-001                  1.6565618752061823E+001                  8.6332955770817377E-001                  7.5291299324117391E+000                  6.1241911166493612E-001                  8.5732934405279138E-001                  1.2768136935348324E+000                  7.1465856256309102E-001                  2.7073901433157599E-001                  5.1268165316246435E-005                  6.0241733021023638E-003                  2.5116795969408680E-003                  6.0883500547338609E-003                  9.4615344299723940E+000                  3.5781992701318415E+000                                        0                                        0                                        4 
                                      10                                     1804                  3.4686983379636709E+004                  3.8385151065254255E+000                  1.3230000000000002E+001                  3.4420238294747683E+001                 -9.8999999999999986E+001                  4.7293072499165829E+000                  3.5736028204574311E-001                  7.8144394392695143E-008                  9.9999999007735585E-001                  9.9999996553737058E-001                  4.2106257016367055E-001                  7.8144394392695143E-008                  9.9999999178023702E-001                  9.9999996126773893E-001                                        1                  3.5746842402997597E-001                                        3                  4.2155951606630748E-001                                        0                  1.0000000000000000E+000                  4.1211216691742045E+000                 -2.8947521955725811E+001                 -1.1740169830895265E+001                  4.1211216691742045E+000                  1.7721765200013473E+000                  4.1191726626138108E+000                 -2.8947521955725811E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9260424448297472E+033                  9.1111672813067046E+033                  1.0566397048704584E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.3561606161839740E+034                                        5                  6.1488714580196890E-002                                        4                  1.8597042948378861E-001                                        3                  3.0981400664851266E-001                                        2                  4.0368973650742995E-001                                        3                  4.8077548185326180E-001                                        2                  5.8563432444480845E-001                                        1                  6.7413695062990664E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4687003121981048E+000                  4.1199438633900405E+000                  6.4583014375143633E-001                  4.2677889100977531E+000                 -3.9116747807533974E-011                  7.5309989232957788E+000                  8.6818742229731716E-001                  1.6572261577336064E+001                  8.6818742229731716E-001                  7.5309989232957788E+000                  6.1267088222472921E-001                  8.5702126074208684E-001                  1.2775634148882238E+000                  7.1404247194989312E-001                  2.7136523906948534E-001                  4.4341774554298800E-005                  5.9356893137898076E-003                  2.5116795969408689E-003                  6.0883500547338609E-003                  9.4582202454993745E+000                  3.5815328610253681E+000                                        0                                        0                                        5 
                                      15                                     1802                  9.6256064878719364E+004                  4.2344213367635497E+000                  1.3230000000000002E+001                  3.4420238294747683E+001                 -9.8999999999999986E+001                  4.7521337791332945E+000                  3.5852909101260760E-001                  7.8144393892603820E-008                  9.9999999007735585E-001                  9.9999996518361955E-001                  4.2400103800131100E-001                  7.8144393892603820E-008                  9.9999999160994890E-001                  9.9999996104210731E-001                                        1                  3.5919378527084611E-001                                        3                  4.2464650770689022E-001                                        0                  1.0000000000000000E+000                  4.1213322851235166E+000                 -2.8995362689968850E+001                 -9.8999999999999986E+001                  4.1213322851235166E+000                  1.7204158259048052E+000                  4.1196035361316676E+000                 -2.8995362689968850E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9271812528147723E+033                  9.1073080974754705E+033                  1.0696371163873899E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.3401869430432868E+034                                        5                  6.1488714580196391E-002                                        4                  1.8597042948378811E-001                                        3                  3.0981400664851216E-001                                        2                  4.0873242387226366E-001                                        3                  4.7112574731754159E-001                                        2                  5.8215595341295912E-001                                        1                  6.7222386497697628E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4679580239148633E+000                  4.1200441041711695E+000                  6.4736484070848421E-001                  4.2647195161836580E+000                  2.1446650538101299E-010                  7.5301047681415838E+000                  8.6485141550022226E-001                  1.6567622723739358E+001                  8.6485141550022226E-001                  7.5301047681415838E+000                  6.1339083711352771E-001                  8.5626266360646086E-001                  1.2794127673375995E+000                  7.1252527771459728E-001                  2.7290830813775940E-001                  4.6246806951607529E-005                  5.7312315572236950E-003                  2.5116795969408684E-003                  6.0883500547338617E-003                  9.4498950540473494E+000                  3.5899220814391910E+000                                        0                                        0                                        5 
                                      20                                     1783                  2.4945964175451666E+005                  4.6303275670016735E+000                  1.3230000000000002E+001                  3.4420238294747683E+001                 -9.8999999999999986E+001                  4.7615543562863758E+000                  3.5969789997947982E-001                  7.8144401110767968E-008                  9.9999998990706773E-001                  9.9999996421379023E-001                  4.2253180408249774E-001                  7.8144401110767968E-008                  9.9999999138289808E-001                  9.9999995945856091E-001                                        1                  3.5990584703600720E-001                                        3                  4.2501444492251650E-001                                        0                  1.0000000000000000E+000                  4.1230144090187446E+000                 -2.9086336883338411E+001                 -9.8999999999999986E+001                  4.1230144090187446E+000                  1.6742996412490299E+000                  4.1214661506265351E+000                 -2.9086336883338411E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9278131641874087E+033                  9.0949491385153713E+033                  1.0847842651410617E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.3044157107372560E+034                                        5                  6.2183069880097308E-002                                        4                  1.8597042948379533E-001                                        3                  3.0981400664851938E-001                                        2                  4.1515845637559484E-001                                        3                  4.3566261438740500E-001                                        2                  5.7512753596800392E-001                                        1                  6.6836275179839844E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4665610049125064E+000                  4.1219475981286644E+000                  6.5111062569194567E-001                  4.2572279462167346E+000                  1.9255528761170839E-010                  7.5283456530577322E+000                  8.5825461790100399E-001                  1.6558226213439124E+001                  8.5825461790100399E-001                  7.5283456530577322E+000                  6.1518539002187744E-001                  8.5437135655947727E-001                  1.2840504835500126E+000                  7.0874266329934843E-001                  2.7674675117577974E-001                  5.0377520759887892E-005                  5.2901024805695239E-003                  2.5116795969408680E-003                  6.0883500547338617E-003                  9.4291572571848015E+000                  3.6108428982280940E+000                                        0                                        0                                        5 
                                      25                                     1762                  6.2445243994863937E+005                  5.0000000000000000E+000                  1.3230000000000002E+001                  3.4420238294747683E+001                 -9.8999999999999986E+001                  4.7492711217596275E+000                  3.5852909101261476E-001                  7.8144401055256817E-008                  9.9999998933944079E-001                  9.9999996212982711E-001                  4.2253180408249769E-001                  7.8144401055256817E-008                  9.9999999109908455E-001                  9.9999995677802012E-001                                        1                  3.5897740905212600E-001                                        3                  4.2372859518632366E-001                                        0                  1.0000000000000000E+000                  4.1281719101311811E+000                 -2.9211133000682107E+001                 -9.8999999999999986E+001                  4.1281719101311811E+000                  1.6295419403494407E+000                  4.1267920212879954E+000                 -2.9211133000682107E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9292457787218218E+033                  9.0743099287901201E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  6.2183069880097253E-002                                        4                  1.8597042948379527E-001                                        3                  3.0840433257624555E-001                                        2                  5.6320741871730984E-001                                        1                  6.6053447350545746E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4641429360505560E+000                  4.1274164179578818E+000                  6.5868117333045617E-001                  4.2420868509397138E+000                  1.5678315501221913E-010                  7.5256827986170469E+000                  8.4723187430846547E-001                  1.6541976297334951E+001                  8.4723187430846547E-001                  7.5256827986170469E+000                  6.1962338617842383E-001                  8.4971754740720451E-001                  1.2956206838662616E+000                  6.9943504493817288E-001                  2.8615826412656697E-001                  5.8173400394574016E-005                  4.4693455860665247E-003                  2.5116795969408680E-003                  6.0883500547338617E-003                  9.3780966790137974E+000                  3.6623160927874547E+000                                        0                                        0                                        5 
                                      30                                     1759                  1.1244524399486394E+006                  5.0000000000000000E+000                  1.3230000000000002E+001                  3.4420238294747683E+001                 -9.8999999999999986E+001                  4.7045940960333041E+000                  3.5423846739266596E-001                  7.8144408938141822E-008                  9.9999998854476302E-001                  9.9999995931951435E-001                  4.2032342351880814E-001                  7.8144408938141822E-008                  9.9999999036116938E-001                  9.9999995398952124E-001                                        1                  3.5560046077349233E-001                                        3                  4.2034713275855368E-001                                        0                  1.0000000000000000E+000                  4.1359960634150674E+000                 -2.9272420579395835E+001                 -1.0962018580511621E+001                  4.1359960634150674E+000                  1.5939202411336606E+000                  4.1347477245006523E+000                 -2.9272420579395835E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9344575351308288E+033                  9.0555329725367112E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  6.3571780479892537E-002                                        4                  1.8597042948380316E-001                                        3                  3.0840433257625344E-001                                        2                  5.5102838472438020E-001                                        1                  6.5356355517659004E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4619312446261485E+000                  4.1354263603297143E+000                  6.6710952736518658E-001                  4.2252301428702523E+000                  1.3696987821273877E-010                  7.5238971170467677E+000                  8.3790413644002104E-001                  1.6527358351848726E+001                  8.3790413644002104E-001                  7.5238971170467677E+000                  6.2575471979503616E-001                  8.4338344526202080E-001                  1.3117251021226644E+000                  6.8676684249548670E-001                  2.9892714371275042E-001                  6.5772465406939163E-005                  3.6741103888126752E-003                  2.5116795969408680E-003                  6.0883500547338626E-003                  9.3091176280318582E+000                  3.7317344199859037E+000                                        0                                        0                                        5 
                                      35                                     1756                  1.6244524399486394E+006                  5.0000000000000000E+000                  1.3230000000000002E+001                  3.4420238294747683E+001                 -9.8999999999999986E+001                  4.6542972185245093E+000                  3.5071552086831381E-001                  7.8144400722220376E-008                  9.9999998809066137E-001                  9.9999995671058450E-001                  4.1589760302047141E-001                  7.8144400722220376E-008                  9.9999999007735585E-001                  9.9999995138194531E-001                                        1                  3.5179873155891977E-001                                        3                  4.1633899827971721E-001                                        0                  1.0000000000000000E+000                  4.1443417051706621E+000                 -2.9274084650230368E+001                 -9.8999999999999986E+001                  4.1443417051706621E+000                  1.5660605448690321E+000                  4.1431933474268705E+000                 -2.9274084650230368E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9418551787442363E+033                  9.0276828608053577E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  6.4960491079671612E-002                                        4                  1.8597042948379494E-001                                        3                  3.0699465850397145E-001                                        2                  4.1070570358077896E-001                                        1                  4.4931183003052211E-001                                        2                  5.3732959380285705E-001                                        1                  6.4852189368350577E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4602385635226574E+000                  4.1438633621322101E+000                  6.7471339047341594E-001                  4.2100224166537945E+000                  1.2927769404907716E-010                  7.5231161729870388E+000                  8.3156011127430129E-001                  1.6516598869629412E+001                  8.3156011127430129E-001                  7.5231161729870388E+000                  6.3219927486325000E-001                  8.3686388769659792E-001                  1.3287366733540966E+000                  6.7372773023583266E-001                  3.1204244832210060E-001                  7.1593899236350398E-005                  3.0724033132798565E-003                  2.5116795969408680E-003                  6.0883500547338617E-003                  9.2389434904293104E+000                  3.8022515182812415E+000                                        0                                        0                                        5 
