                           1                            2                            3                            4                            5                            6                            7 
              version_number                     compiler                        build             MESA_SDK_version                         date                    burn_min1                    burn_min2 
                       11701                   "gfortran"                      "8.3.0"      "x86_64-linux-20190503"                   "20190816"      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                     1904                  5.1075584145650043E+002                  2.7082133423095112E+000                  3.0000000000000000E+001                  3.4775799705279844E+001                 -9.8999999999999986E+001                  1.5609446809768707E+001                  5.1944472147943532E-001                  7.8125436144374450E-008                  9.9999999716966292E-001                  9.9999997796710105E-001                  5.7357407195149279E-001                  7.8125436144374450E-008                  9.9999999758630576E-001                  9.9999997437706367E-001                                        1                  5.2031489365895689E-001                                        3                  5.7488975748254212E-001                                        0                  1.0000000000000000E+000                  5.1023768811955081E+000                 -2.6381746849796556E+001                 -9.8828373344639981E+000                  5.1023768811955090E+000                  3.0274679559131337E+000                  5.0987065160159055E+000                 -2.6381746849796556E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8045376126244257E+034                  2.8072102633118383E+034                  3.2728859029979266E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6687748451002121E+034                                        5                  1.5348475772021486E-001                                        4                  3.0215482218055856E-001                                        3                  4.3262161396288334E-001                                        2                  5.5089997000592061E-001                                        3                  5.8578288546238444E-001                                        2                  6.7581546077162979E-001                                        1                  7.4941265729865314E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6064822089195383E+000                  5.0855848219750825E+000                  8.5308682960109006E-001                  4.2088369489306077E+000                 -2.4798760136248551E-008                  7.5842473409720048E+000                  5.6070621609019822E-001                  1.6388751451838004E+001                  5.6070621609019822E-001                  7.5842473409720048E+000                  6.1103361143686818E-001                  8.5742847040150127E-001                  1.2765705725810248E+000                  7.1485667655283491E-001                  2.7054264032110731E-001                  7.9800916346275323E-005                  6.0449681517184628E-003                  2.5116795969408702E-003                  6.0883500547338609E-003                  2.1454370380287017E+001                  8.1126210614540604E+000                                        0                                        0                                        3 
                                       5                                     1903                  3.8008406697826936E+003                  3.0249383265000103E+000                  3.0000000000000000E+001                  3.4775799705279844E+001                 -9.8999999999999986E+001                  1.6097064934722816E+001                  5.3553074713735827E-001                  7.8125435256196030E-008                  9.9999999727382349E-001                  9.9999997888162451E-001                  5.8980550590781133E-001                  7.8125435256196030E-008                  9.9999999769046644E-001                  9.9999997519718187E-001                                        1                  5.3656883115742715E-001                                        3                  5.8986206933406182E-001                                        0                  1.0000000000000000E+000                  5.0562288278665823E+000                 -2.6244913656762193E+001                 -1.0235019852575359E+001                  5.0562288278665832E+000                  2.4812171508814655E+000                  5.0550717807899117E+000                 -2.6244913656762193E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7576814706516425E+034                  2.7640588618003762E+034                  3.4014298449653970E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.7006700548217111E+034                                        5                  1.4748318884405265E-001                                        4                  2.9337643719344431E-001                                        3                  4.2612592822156348E-001                                        2                  5.3986350769041724E-001                                        3                  5.9113458592885193E-001                                        2                  6.7971801002609711E-001                                        1                  7.5299769050512777E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6072368795410465E+000                  5.0740447040280090E+000                  8.4580742938453646E-001                  4.2233957493637142E+000                 -1.3402127658141310E-008                  7.5866961378742310E+000                  5.6692835288847798E-001                  1.6397672319970173E+001                  5.6692835288847798E-001                  7.5866961378742310E+000                  6.1106539534247917E-001                  8.5732527059071306E-001                  1.2768227410872399E+000                  7.1465047478072896E-001                  2.7074940305137390E-001                  5.2896488390720935E-005                  6.0093563031121495E-003                  2.5116795969408702E-003                  6.0883500547338574E-003                  2.1450460897057351E+001                  8.1163146039633745E+000                                        0                                        0                                        3 
                                      10                                     1907                  1.3258548525216360E+004                  3.4208445567381345E+000                  3.0000000000000000E+001                  3.4775799705279844E+001                 -9.8999999999999986E+001                  1.6386032823931295E+001                  5.4559567138112453E-001                  7.8125435256196030E-008                  9.9999999727382349E-001                  9.9999997942181662E-001                  5.9775625788964581E-001                  7.8125435256196030E-008                  9.9999999774254678E-001                  9.9999997620677439E-001                                        1                  5.4620109413104323E-001                                        3                  5.9855934848197434E-001                                        0                  1.0000000000000000E+000                  5.0701635554823863E+000                 -2.6219035754126498E+001                 -1.0359958589183659E+001                  5.0701635554823863E+000                  2.1224850056122109E+000                  5.0696733808568997E+000                 -2.6219035754126498E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7679147256430995E+034                  2.7741443151675088E+034                  3.4655270935220980E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.7028800039032377E+034                                        5                  1.4919656787157520E-001                                        4                  2.9601237175154482E-001                                        3                  4.2775438227836826E-001                                        2                  5.4129654861309406E-001                                        1                  5.7542303101514591E-001                                        2                  6.8027191543238152E-001                                        1                  7.5389126237848636E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6071387690230283E+000                  5.0693928009718645E+000                  8.4367769889250233E-001                  4.2276552103477831E+000                  1.9821990755314911E-010                  7.5871188165947734E+000                  5.6754221480881017E-001                  1.6398703857894439E+001                  5.6754221480881017E-001                  7.5871188165947734E+000                  6.1135050086783849E-001                  8.5700534215276036E-001                  1.2775998978485534E+000                  7.1401066075201591E-001                  2.7140318053609180E-001                  5.3431378311707330E-005                  5.8993901742397260E-003                  2.5116795969408702E-003                  6.0883500547338574E-003                  2.1439070387666462E+001                  8.1278357541101300E+000                                        0                                        0                                        5 
                                      15                                     1906                  3.6792352136049063E+004                  3.8167507869762587E+000                  3.0000000000000000E+001                  3.4775799705279844E+001                 -9.8999999999999986E+001                  1.6386441184022480E+001                  5.4559567138112453E-001                  7.8125435256196030E-008                  9.9999999727382349E-001                  9.9999997916325745E-001                  5.9775625788964581E-001                  7.8125435256196030E-008                  9.9999999769046644E-001                  9.9999997596153434E-001                                        1                  5.4621470613408263E-001                                        3                  5.9854555851196367E-001                                        0                  1.0000000000000000E+000                  5.0713787188273338E+000                 -2.6274417700587698E+001                 -9.8999999999999986E+001                  5.0713787188273329E+000                  1.9829815909610782E+000                  5.0710242611394838E+000                 -2.6274417700587698E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7671499859179814E+034                  2.7716242257656321E+034                  3.4897442181156936E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6802820910110294E+034                                        5                  1.4919656787157520E-001                                        4                  2.9601237175154482E-001                                        3                  4.2775438227836826E-001                                        2                  5.4129654861309406E-001                                        1                  5.7903148525438930E-001                                        2                  6.7805629380724386E-001                                        1                  7.5210411863176918E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6063467257589004E+000                  5.0700606237475778E+000                  8.4559569680861413E-001                  4.2238192145155589E+000                  7.2202141161287732E-010                  7.5860039917843087E+000                  5.6375556870874177E-001                  1.6393473306275347E+001                  5.6375556870874177E-001                  7.5860039917843087E+000                  6.1212887684160144E-001                  8.5619739547782503E-001                  1.2795678632932812E+000                  7.1239477532616924E-001                  2.7305149919760907E-001                  5.5839498318631481E-005                  5.6433252921413869E-003                  2.5116795969408702E-003                  6.0883500547338574E-003                  2.1410680605647524E+001                  8.1567451240523372E+000                                        0                                        0                                        5 
                                      20                                     1904                  9.5351986336956281E+004                  4.2126570172143820E+000                  3.0000000000000000E+001                  3.4775799705279844E+001                 -9.8999999999999986E+001                  1.6353476870771669E+001                  5.4487915091978611E-001                  7.8125435256196030E-008                  9.9999999722174315E-001                  9.9999997847501110E-001                  5.9643904194080977E-001                  7.8125435256196030E-008                  9.9999999758630564E-001                  9.9999997444619049E-001                                        1                  5.4511589569238894E-001                                        3                  5.9763654726171933E-001                                        0                  1.0000000000000000E+000                  5.0733796800520352E+000                 -2.6386937123602593E+001                 -9.8999999999999986E+001                  5.0733796800520352E+000                  1.9372915458411433E+000                  5.0730620987257549E+000                 -2.6386937123602593E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7657672439912984E+034                  2.7674710134950094E+034                  3.5026088713509397E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6318040378388977E+034                                        5                  1.4919656787157520E-001                                        4                  2.9513431677451540E-001                                        3                  4.2775438227836826E-001                                        2                  5.3986350769041724E-001                                        1                  5.8194593059615707E-001                                        2                  6.7244165151695823E-001                                        1                  7.4805618091905313E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6046658759134571E+000                  5.0723480638299581E+000                  8.5010111654069065E-001                  4.2148083750514056E+000                  6.0429013972558024E-010                  7.5836910346955859E+000                  5.5577435403633224E-001                  1.6382351194428811E+001                  5.5577435403633224E-001                  7.5836910346955859E+000                  6.1406827387618745E-001                  8.5418196927190704E-001                  1.2845088011608139E+000                  7.0836392332753551E-001                  2.7715035488561085E-001                  6.1818994934050508E-005                  5.1072783573147904E-003                  2.5116795969408702E-003                  6.0883500547338574E-003                  2.1339954404584976E+001                  8.2286226455190867E+000                                        0                                        0                                        5 
                                      25                                     1899                  2.4106709531175770E+005                  4.6085632474525067E+000                  3.0000000000000000E+001                  3.4775799705279844E+001                 -9.8999999999999986E+001                  1.6270343741014059E+001                  5.4129654861309384E-001                  7.8125435034151425E-008                  9.9999999701342168E-001                  9.9999997709697241E-001                  5.9445728598145320E-001                  7.8125435034151425E-008                  9.9999999748214496E-001                  9.9999997356376091E-001                                        1                  5.4234479136713531E-001                                        3                  5.9473365371824849E-001                                        0                  1.0000000000000000E+000                  5.0790239598499145E+000                 -2.6530405854831056E+001                 -9.8999999999999986E+001                  5.0790239598499136E+000                  1.8865875414420701E+000                  5.0787450349101908E+000                 -2.6530405854831056E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7648305989312902E+034                  2.7632499079671175E+034                  3.5263337819866891E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.5327136157244342E+034                                        5                  1.4919656787157498E-001                                        4                  2.9513431677451518E-001                                        3                  4.2612592822156325E-001                                        2                  5.3841925417273073E-001                                        1                  5.8374360842877770E-001                                        2                  6.6388182663450201E-001                                        1                  7.4118615461547899E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6018525354722177E+000                  5.0783331587193512E+000                  8.5872034486786630E-001                  4.1975699183970550E+000                  4.6243005032537614E-010                  7.5804049146265680E+000                  5.4333088138284358E-001                  1.6364571632840157E+001                  5.4333088138284358E-001                  7.5804049146265680E+000                  6.1893219774753683E-001                  8.4912177315226223E-001                  1.2971042388032439E+000                  6.9824353119001203E-001                  2.8739335096475477E-001                  7.2659415408468051E-005                  4.1409031596073261E-003                  2.5116795969408702E-003                  6.0883500547338574E-003                  2.1162864316763685E+001                  8.4078008085436995E+000                                        0                                        0                                        5 
                                      30                                     1897                  5.5737425980214216E+005                  4.8824667317640875E+000                  3.0000000000000000E+001                  3.4775799705279844E+001                 -9.8999999999999986E+001                  1.6045736272423959E+001                  5.3408649361967142E-001                  7.8125434812106820E-008                  9.9999999674387441E-001                  9.9999997460770496E-001                  5.8712375894419266E-001                  7.8125434812106820E-008                  9.9999999722174315E-001                  9.9999997033923982E-001                                        1                  5.3485787574746524E-001                                        3                  5.8722331859638355E-001                                        0                  1.0000000000000000E+000                  5.0925695260586279E+000                 -2.6591494300247270E+001                 -1.0235019852575359E+001                  5.0925695260586279E+000                  1.8260758193277022E+000                  5.0923343418318234E+000                 -2.6591494300247270E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7659580362318176E+034                  2.7560574520888318E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  1.5090994689909720E-001                                        4                  2.9513431677451496E-001                                        3                  4.2531170119316064E-001                                        2                  5.3697500065504411E-001                                        1                  5.8511218635963169E-001                                        2                  6.5159805257964365E-001                                        1                  7.3273623094893048E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5980959112082438E+000                  5.0921129589766352E+000                  8.7312349352445595E-001                  4.1687636210838752E+000                  3.7781046896632309E-010                  7.5777977788311741E+000                  5.2985635402722320E-001                  1.6343902464994756E+001                  5.2985635402722320E-001                  7.5777977788311741E+000                  6.3000399935796858E-001                  8.3779932542316304E-001                  1.3262507351942139E+000                  6.7559863700327649E-001                  3.1020163034243059E-001                  8.7243597098964081E-005                  2.8532977227736941E-003                  2.5116795969408702E-003                  6.0883500547338574E-003                  2.0770541605596421E+001                  8.8028685275481067E+000                                        0                                        0                                        5 
                                      35                                     1890                  1.0098066743677401E+006                  4.9905660686802333E+000                  3.0000000000000000E+001                  3.4775799705279844E+001                 -9.8999999999999986E+001                  1.5704770460826325E+001                  5.2239943623104645E-001                  7.8125434812106820E-008                  9.9999999630894054E-001                  9.9999997108285898E-001                  5.7562060194007847E-001                  7.8125434812106820E-008                  9.9999999685260788E-001                  9.9999996634209176E-001                                        1                  5.2349234869421080E-001                                        3                  5.7584416744312117E-001                                        0                  1.0000000000000000E+000                  5.1133144500776586E+000                 -2.6479049975924802E+001                 -1.0536049848239340E+001                  5.1133144500776595E+000                  1.7645580637941491E+000                  5.1131198579720483E+000                 -2.6479049975924802E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7707358432455697E+034                  2.7483310222855227E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  1.5348475772021353E-001                                        4                  2.9601237175154438E-001                                        3                  4.2449747416475825E-001                                        2                  5.3408649361967142E-001                                        1                  5.8637545673170743E-001                                        2                  6.3836211703121271E-001                                        1                  7.2502815928666275E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5941720651229909E+000                  5.1129532020515516E+000                  8.9139130723241988E-001                  4.1322279936679474E+000                  3.7104985450608756E-010                  7.5777275601606986E+000                  5.2134685560967198E-001                  1.6328239403374035E+001                  5.2134685560967198E-001                  7.5777275601606986E+000                  6.4748082362648984E-001                  8.2068828000819583E-001                  1.3729251315806363E+000                  6.4137654877561534E-001                  3.4455639294611812E-001                  9.9515083550658185E-005                  1.8083271198764380E-003                  2.5116795969408702E-003                  6.0883500547338574E-003                  2.0187233430550812E+001                  9.3883465449810384E+000                                        0                                        0                                        5 
                                      40                                     1884                  1.5098066743677401E+006                  5.0000000000000000E+000                  3.0000000000000000E+001                  3.4775799705279844E+001                 -9.8999999999999986E+001                  1.5307587557568066E+001                  5.0903794013910486E-001                  7.8125444829725671E-008                  9.9999999587400668E-001                  9.9999996644028877E-001                  5.6182049438276538E-001                  7.8125444829725671E-008                  9.9999999652640748E-001                  9.9999996114968026E-001                                        1                  5.1025291858560218E-001                                        3                  5.6222476642713504E-001                                        0                  1.0000000000000000E+000                  5.1376314174136155E+000                 -2.6245333013223789E+001                 -9.8999999999999986E+001                  5.1376314174136155E+000                  1.7030071191959606E+000                  5.1374717413386159E+000                 -2.6245333013223789E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7774636251527464E+034                  2.7381708614138710E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  1.5606905310100505E-001                                        4                  2.9689042672858379E-001                                        3                  4.2449747416476824E-001                                        2                  5.3117575968229913E-001                                        1                  5.8712375894420010E-001                                        2                  6.2475640910018582E-001                                        1                  7.1713102131335271E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5899439583168808E+000                  5.1373035717920938E+000                  9.1202270571491217E-001                  4.0909651967029630E+000                  4.0778831939762336E-010                  7.5797124270184932E+000                  5.1783877219605379E-001                  1.6318045219717817E+001                  5.1783877219605379E-001                  7.5797124270184932E+000                  6.6962760894592355E-001                  8.0032036754567215E-001                  1.4329912476884106E+000                  6.0064072666022383E-001                  3.8537621870781807E-001                  1.0791882705147827E-004                  1.1475704036083920E-003                  2.5116795969408641E-003                  6.0883500547338522E-003                  1.9508601368033752E+001                  1.0068299677194146E+001                                        0                                        0                                        5 
