                           1                            2                            3                            4                            5                            6                            7 
              version_number                     compiler                        build             MESA_SDK_version                         date                    burn_min1                    burn_min2 
                       11701                   "gfortran"                      "8.3.0"      "x86_64-linux-20190503"                   "20190816"      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                     1739                  4.8735637412135820E+003                  3.6878466505640572E+000                  6.0000000000000000E+000                  3.4076829700943826E+001                 -9.8999999999999986E+001                  1.4522012487685723E+000                  2.4200320206287035E-001                  7.8146752346976927E-008                  9.9999999991732169E-001                  9.9999999972919529E-001                  3.0530798946852677E-001                  7.8146752346976927E-008                  9.9999999992655009E-001                  9.9999999970460740E-001                                        1                  2.4203354146142872E-001                                        3                  3.0652760087720388E-001                                        0                  1.0000000000000000E+000                  3.0426412802430254E+000                 -3.2489258768614263E+001                 -1.2166138563167546E+001                  3.0426412802430254E+000                  1.5537254685297708E+000                  3.0283190740151298E+000                 -3.2489258768614263E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0018730215946358E+033                  2.7064469732978015E+033                  3.3923212236719299E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.7537754427290594E+033                                        5                  1.6296436486893939E-003                                        4                  8.3636926730680405E-002                                        3                  1.9093043278920258E-001                                        2                  2.9176365032333529E-001                                        3                  3.6084103643819909E-001                                        2                  4.7739278723005829E-001                                        1                  5.8755558898184534E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2951585066752740E+000                  3.0590655097924104E+000                  4.6247457799828268E-001                  4.2910914478002029E+000                 -4.2076292730245745E-009                  7.4604143482028391E+000                  1.2574258441624127E+000                  1.6860380355916288E+001                  1.2574258441624127E+000                  7.4604143482028391E+000                  6.1282590657918479E-001                  8.5742508266089512E-001                  1.2765823475885951E+000                  7.1484991363828565E-001                  2.7054084028162240E-001                  4.0642590405465838E-005                  6.0615625843830597E-003                  2.5116795969408684E-003                  6.0883500547338591E-003                  4.2918273927255859E+000                  1.6220964678003273E+000                                        0                                        0                                        3 
                                       3                                     1762                  1.7455123581848540E+004                  3.8282268909069805E+000                  6.0000000000000000E+000                  3.4076829700943826E+001                 -9.8999999999999986E+001                  1.5421368107041606E+000                  2.5634551550297840E-001                  7.8146747238368876E-008                  9.9999999991732169E-001                  9.9999999973596077E-001                  3.2332566394315693E-001                  7.8146747238368876E-008                  9.9999999992786848E-001                  9.9999999971229891E-001                                        1                  2.5702280178402676E-001                                        3                  3.2409458886351461E-001                                        0                  1.0000000000000000E+000                  3.0399154587740136E+000                 -3.2486578968453301E+001                 -9.8999999999999986E+001                  3.0399154587740131E+000                  1.5353597124761160E+000                  3.0261079919698410E+000                 -3.2486578968453301E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0052440833941287E+033                  2.7237751942788208E+033                  3.5989510804425853E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.7454802511783547E+033                                        5                  1.6296436486842863E-003                                        4                  8.3636926730675298E-002                                        3                  1.9366128518833686E-001                                        2                  3.0571675801243131E-001                                        3                  3.6011801065375509E-001                                        2                  4.7611980776575563E-001                                        1                  5.8755558898184257E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2925941837330202E+000                  3.0379209740534097E+000                  4.5703095601329130E-001                  4.3019786917701861E+000                 -2.7134333842582294E-009                  7.4605861419947699E+000                  1.2523852795372004E+000                  1.6855627449962213E+001                  1.2523852795372004E+000                  7.4605861419947699E+000                  6.1285132317734126E-001                  8.5739760764664141E-001                  1.2766491980150927E+000                  7.1479497076648335E-001                  2.7059656492909928E-001                  4.0465696403654483E-005                  6.0552454903972826E-003                  2.5116795969408693E-003                  6.0883500547338609E-003                  4.2916841865224207E+000                  1.6222254936633633E+000                                        0                                        0                                        3 
                                       5                                     1761                  3.5230991628960197E+004                  3.9865893830022303E+000                  6.0000000000000000E+000                  3.4076829700943826E+001                 -9.8999999999999986E+001                  1.5658912293565268E+000                  2.6098095197483911E-001                  7.8146747015609534E-008                  9.9999999991995836E-001                  9.9999999974023512E-001                  3.2183172068783811E-001                  7.8146747015609534E-008                  9.9999999992786848E-001                  9.9999999971988973E-001                                        1                  2.6098187155942110E-001                                        3                  3.2217667744632533E-001                                        0                  1.0000000000000000E+000                  3.0156545748917210E+000                 -3.2481175685360640E+001                 -1.2166138563167546E+001                  3.0156545748917210E+000                  1.4995421268486726E+000                  3.0022153523197552E+000                 -3.2481175685360640E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.7535066680288903E+032                  2.6919481043067564E+033                  3.6562812848197304E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.7444904257657746E+033                                        5                  8.0940131916023964E-004                                        4                  8.0808711979487302E-002                                        3                  1.9093043278919725E-001                                        2                  3.0832563792387074E-001                                        3                  3.6011801065375487E-001                                        2                  4.7611980776575541E-001                                        1                  5.8755558898184246E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2904017646416897E+000                  3.0211156702279522E+000                  4.5301314228322265E-001                  4.3100143192303237E+000                 -1.2972385561718217E-009                  7.4607286162972128E+000                  1.2502831589435686E+000                  1.6853699271516728E+001                  1.2502831589435686E+000                  7.4607286162972128E+000                  6.1289459015068248E-001                  8.5735085153989676E-001                  1.2767632937199458E+000                  7.1470148319501503E-001                  2.7069062063872928E-001                  3.5519240050193478E-005                  6.0446951480065620E-003                  2.5116795969408697E-003                  6.0883500547338626E-003                  4.2914920914522163E+000                  1.6224076267591183E+000                                        0                                        0                                        3 
                                      10                                     1762                  1.2181485322419474E+005                  4.3824956132403541E+000                  6.0000000000000000E+000                  3.4076829700943826E+001                 -9.8999999999999986E+001                  1.5514324493597531E+000                  2.5789066099359792E-001                  7.8146746515929949E-008                  9.9999999991995847E-001                  9.9999999974317522E-001                  3.2481960719847491E-001                  7.8146746515929949E-008                  9.9999999992786859E-001                  9.9999999972362041E-001                                        1                  2.5857207489329215E-001                                        3                  3.2601781084715409E-001                                        0                  1.0000000000000000E+000                  3.0108907029491445E+000                 -3.2483773362988480E+001                 -1.2643259817887209E+001                  3.0108907029491445E+000                  1.4715120916143356E+000                  2.9981628816674566E+000                 -3.2483773362988480E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.7379080818985832E+032                  2.6915521989102192E+033                  3.7117980004649758E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.6866760396593374E+033                                        5                  8.0940131915974048E-004                                        4                  8.0808711979486803E-002                                        3                  1.9093043278919675E-001                                        2                  3.1284357329178303E-001                                        3                  3.4992294774441801E-001                                        2                  4.7484682830145730E-001                                        1                  5.8755558898184224E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2886829560938322E+000                  3.0099004965763312E+000                  4.5084317255312834E-001                  4.3143542586905124E+000                  9.1210363489863455E-012                  7.4606867542414035E+000                  1.2486681349284401E+000                  1.6851929404559392E+001                  1.2486681349284401E+000                  7.4606867542414035E+000                  6.1311005757313719E-001                  8.5711812000675713E-001                  1.2773299825560096E+000                  7.1423602630283578E-001                  2.7116254858140737E-001                  3.5083894988056332E-005                  5.9924943454776440E-003                  2.5116795969408689E-003                  6.0883500547338617E-003                  4.2905796487373484E+000                  1.6232998757926038E+000                                        0                                        0                                        5 
                                      15                                     1744                  3.3726320770884870E+005                  4.7784018434784779E+000                  6.0000000000000000E+000                  3.4076829700943826E+001                 -9.8999999999999986E+001                  1.5741397782553905E+000                  2.6098095197484289E-001                  7.8146750791059883E-008                  9.9999999991995847E-001                  9.9999999974178189E-001                  3.2630722824870079E-001                  7.8146750791059883E-008                  9.9999999992786859E-001                  9.9999999972074738E-001                                        1                  2.6235662970923174E-001                                        3                  3.3037824328179594E-001                                        0                  1.0000000000000000E+000                  3.0105104086763634E+000                 -3.2496501987658085E+001                 -1.2342229822223228E+001                  3.0105104086763634E+000                  1.4547282331102214E+000                  2.9982610766610307E+000                 -3.2496501987658085E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.7874549571488430E+032                  2.6956649917008492E+033                  3.8058763131682224E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.5304014741753925E+033                                        5                  8.0940131916401592E-004                                        4                  8.0808711979491077E-002                                        3                  1.9093043278920102E-001                                        2                  4.7228354446289372E-001                                        1                  5.8540200296402745E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2882583468944206E+000                  3.0095641687676316E+000                  4.5152422704760004E-001                  4.3129921497015689E+000                  2.5669932734229858E-011                  7.4604159734371445E+000                  1.2468713404007010E+000                  1.6849519384141640E+001                  1.2468713404007010E+000                  7.4604159734371445E+000                  6.1363935419754212E-001                  8.5654729474755342E-001                  1.2787221851554667E+000                  7.1309437558111854E-001                  2.7231971008015177E-001                  3.5864684427455609E-005                  5.8694442835395960E-003                  2.5116795969408680E-003                  6.0883500547338600E-003                  4.2883168977312645E+000                  1.6255347895158754E+000                                        0                                        0                                        5 
                                      20                                     1725                  7.9575463277184044E+005                  5.0000000000000000E+000                  6.0000000000000000E+000                  3.4076829700943826E+001                 -9.8999999999999986E+001                  1.5932923487844983E+000                  2.6522385096830664E-001                  7.8146750791059883E-008                  9.9999999991732180E-001                  9.9999999973771103E-001                  3.3077009139936547E-001                  7.8146750791059883E-008                  9.9999999992655020E-001                  9.9999999971339182E-001                                        1                  2.6554872479741637E-001                                        3                  3.3211427323065323E-001                                        0                  1.0000000000000000E+000                  3.0109434775147896E+000                 -3.2533912592388496E+001                 -9.8999999999999986E+001                  3.0109434775147896E+000                  1.4405575630934315E+000                  2.9991047696402058E+000                 -3.2533912592388496E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8314694085383571E+032                  2.6964672899976093E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  1.2195224839259278E-003                                        4                  8.2222819355084964E-002                                        3                  1.9093043278920102E-001                                        2                  4.6584938805157378E-001                                        1                  5.8540200296402745E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2873878726009060E+000                  3.0099745033089453E+000                  4.5347034290528759E-001                  4.3090999179861935E+000                  3.1431853430141478E-011                  7.4596508863405733E+000                  1.2432596566147132E+000                  1.6844394589508095E+001                  1.2432596566147132E+000                  7.4596508863405733E+000                  6.1476806947989404E-001                  8.5533415872577079E-001                  1.2816920754164118E+000                  7.1066810271285519E-001                  2.7477642615858261E-001                  3.7614388607560427E-005                  5.6282186147591862E-003                  2.5116795969408680E-003                  6.0883500547338600E-003                  4.2835058773576149E+000                  1.6303329244849962E+000                                        0                                        0                                        5 
                                      25                                     1723                  1.2957546327718403E+006                  5.0000000000000000E+000                  6.0000000000000000E+000                  3.4076829700943826E+001                 -9.8999999999999986E+001                  1.5987830285979037E+000                  2.6522385096830664E-001                  7.8146750791059883E-008                  9.9999999991732180E-001                  9.9999999973262432E-001                  3.3225119998304137E-001                  7.8146750791059883E-008                  9.9999999992523181E-001                  9.9999999971197917E-001                                        1                  2.6646383809965057E-001                                        3                  3.3369502971719306E-001                                        0                  1.0000000000000000E+000                  3.0118757495234223E+000                 -3.2571431163194212E+001                 -9.8999999999999986E+001                  3.0118757495234223E+000                  1.4303096950734882E+000                  3.0003419501235506E+000                 -3.2571431163194212E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8545481957127417E+032                  2.6943307419149952E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  1.2195224839259278E-003                                        4                  8.2222819355084964E-002                                        3                  1.9093043278920102E-001                                        2                  3.0832563792387452E-001                                        1                  3.2033777743252329E-001                                        2                  4.5805586095359269E-001                                        1                  5.8324841694621021E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2865408889139225E+000                  3.0109858379616794E+000                  4.5566997760562034E-001                  4.3047006485855279E+000                  3.1101825657353196E-011                  7.4588645705061563E+000                  1.2398070932440832E+000                  1.6839335531868258E+001                  1.2398070932440832E+000                  7.4588645705061563E+000                  6.1599677472506542E-001                  8.5401989408981149E-001                  1.2849264288859492E+000                  7.0803957243520232E-001                  2.7743483234254335E-001                  3.9410820300198770E-005                  5.3915915521832187E-003                  2.5116795969408680E-003                  6.0883500547338600E-003                  4.2782574895820193E+000                  1.6355921874666273E+000                                        0                                        0                                        5 
                                      30                                     1721                  1.7957546327718403E+006                  5.0000000000000000E+000                  6.0000000000000000E+000                  3.4076829700943826E+001                 -9.8999999999999986E+001                  1.5987226941452179E+000                  2.6522385096830681E-001                  7.8146750957593337E-008                  9.9999999991468513E-001                  9.9999999972764408E-001                  3.3225119998304153E-001                  7.8146750957593337E-008                  9.9999999992259514E-001                  9.9999999970432885E-001                                        1                  2.6645378235753631E-001                                        3                  3.3357515230434703E-001                                        0                  1.0000000000000000E+000                  3.0130447241496361E+000                 -3.2602602610198964E+001                 -9.8999999999999986E+001                  3.0130447241496361E+000                  1.4214039201603235E+000                  3.0017788664992655E+000                 -3.2602602610198964E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8697336605865650E+032                  2.6913935809341086E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  1.2195224839260943E-003                                        4                  8.2222819355085131E-002                                        3                  1.9093043278920119E-001                                        2                  3.0832563792387468E-001                                        1                  3.2481644609593086E-001                                        2                  4.5150096306829740E-001                                        1                  5.8107833146249055E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2857813206259383E+000                  3.0122219867528974E+000                  4.5780718857719843E-001                  4.3004262266423714E+000                  3.0232383055621622E-011                  7.4581808159933560E+000                  1.2367754408032012E+000                  1.6834790582592053E+001                  1.2367754408032012E+000                  7.4581808159933560E+000                  6.1723876169373315E-001                  8.5269805965642620E-001                  1.2881970184607132E+000                  7.0539590339397307E-001                  2.8010589797188262E-001                  4.1063003224578702E-005                  5.1746148594996669E-003                  2.5116795969408680E-003                  6.0883500547338600E-003                  4.2730015787452604E+000                  1.6408687273297828E+000                                        0                                        0                                        5 
                                      35                                     1717                  2.2957546327718403E+006                  5.0000000000000000E+000                  6.0000000000000000E+000                  3.4076829700943826E+001                 -9.8999999999999986E+001                  1.5965447231447905E+000                  2.6522385096830686E-001                  7.8146751013104488E-008                  9.9999999991468513E-001                  9.9999999972291254E-001                  3.3077009139936570E-001                  7.8146751013104488E-008                  9.9999999991995847E-001                  9.9999999969746645E-001                                        1                  2.6609078719079837E-001                                        3                  3.3307383620193959E-001                                        0                  1.0000000000000000E+000                  3.0143463547065177E+000                 -3.2627919038034356E+001                 -9.8999999999999986E+001                  3.0143463547065177E+000                  1.4133142079369971E+000                  3.0033245834029896E+000                 -3.2627919038034356E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8821315277526300E+032                  2.6882683825235168E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  1.2195224839261498E-003                                        4                  8.2222819355085186E-002                                        3                  1.9093043278920124E-001                                        2                  3.0681965946790385E-001                                        1                  3.5138172802280793E-001                                        2                  4.4356983838280911E-001                                        1                  5.8107833146249055E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2850916238342514E+000                  3.0135807261051610E+000                  4.5986595183670359E-001                  4.2963087001233617E+000                  2.9296799978668685E-011                  7.4575933265703052E+000                  1.2340775356302460E+000                  1.6830666668950975E+001                  1.2340775356302460E+000                  7.4575933265703052E+000                  6.1849595229376797E-001                  8.5136676046370496E-001                  1.2915088354369961E+000                  7.0273330536816681E-001                  2.8279384262267337E-001                  4.2593345274303340E-005                  4.9738860014788104E-003                  2.5116795969408680E-003                  6.0883500547338600E-003                  4.2677349717745070E+000                  1.6461598760270457E+000                                        0                                        0                                        5 
